Trophic Mode;N3S;N1S;N3B;N1B;N2B;N2S;N4B;N5B;N4S;N7S;N7B;N6S;N5S;N6B
 Pathotroph;0.03280705351650605;0.6813281586890901;1.0387727986471795;0.0031474254060178774;0.029673590504451036;4.326756663205262;0.0836752184430324;0.08975049362771495;0.020156210632401108;0.23916926523568768;0.1679208253308565;3.2729977684106126;0.19083969465648853;1.434034416826004
 Pathotroph-Pathotroph-Saprotroph;0.0;0.0;0.0;0.0006294850812035755;0.0;0.0;0.027891739481010796;0.0;0.022675736961451247;0.0;0.0020990103166357065;0.0;0.09541984732824427;0.0
 Pathotroph-Pathotroph-Saprotroph-Symbiotroph;0.496206684437154;0.5066839154808107;1.3648991424085033;0.047211381090268165;0.3264094955489614;1.0470751124956732;7.949652874624095;1.5796086878477833;8.673469387755102;1.0475008325512398;3.6911096418038896;0.24795437639474338;1.6221374045801524;0.19120458891013384
 Pathotroph-Saprotroph;0.0;0.0;0.0;0.0;0.0;0.0;0.0005071225360183782;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Pathotroph-Saprotroph-Symbiotroph;0.25835554644248515;0.16278568348426045;0.04831501389056649;0.0031474254060178774;0.019782393669634024;0.5538248528902735;0.2292193862803069;0.08975049362771495;0.12555639539766522;0.2028397565922921;0.9487526631193393;0.6529465245061575;0.38167938931297707;0.09560229445506692
 Saprotroph;0.4346934590937051;0.26196636481241914;1.7393405000603939;5.162407150950521;2.2650840751730956;0.11249567324333679;0.009128205648330806;0.30515167833423085;0.012597631645250691;0.00454118858042445;0.0010495051583178532;0.09918175055789735;0.0;0.0
 Saprotroph-Saprotroph-Symbiotroph;0.0;0.001078050884001725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010495051583178532;0.0;0.19083969465648853;0.0
 Symbiotroph;0.0656141070330121;0.23178094006037084;0.06039376736320811;2.24474379957195;0.18793273986152326;0.5451713395638629;0.014199431008514587;1.0770059235325793;0.026035105400184767;0.0181647543216978;0.06611882497402474;0.06612116703859823;0.7633587786259541;8.795411089866157
