Location;Site; Pathotroph; Pathotroph-Pathotroph-Saprotroph; Pathotroph-Pathotroph-Saprotroph-Symbiotroph; Pathotroph-Saprotroph; Pathotroph-Saprotroph-Symbiotroph; Saprotroph; Saprotroph-Saprotroph-Symbiotroph; Symbiotroph;Pathotroph;Pathotroph-Saprotroph;Pathotroph-Saprotroph-Symbiotroph;Pathotroph-Symbiotroph;Saprotroph;Saprotroph-Symbiotroph;Symbiotroph;Unassigned;Cox (%);Humus (%);HL (%);HK (%);FK (%);HK/FK;SH (%);Q4/6;pH CaCl2;P mg /kg;K mg /kg;Ca mg/kg;Mg mg/kg
N1;N1B;0.0031474254060178774;0.0006294850812035755;0.047211381090268165;0.0;0.0031474254060178774;5.162407150950521;0.0;2.24474379957195;2.1301775147928996;0.4721138109026816;5.440010071761299;0.066725418607579;67.43736623442025;2.172353015233539;3.4634269167820726;11.356540349993706;2,1075;3,7495;0,5435;0,2475;0,297;0,8465;11,483;6,993;6,95;163,2;187,6;5390;173,4
N1;N1S;0.6813281586890901;0.0;0.5066839154808107;0.0;0.16278568348426045;0.26196636481241914;0.001078050884001725;0.23178094006037084;5.291073738680466;15.154161276412246;44.285252263906855;0.2210004312203536;25.64467442863303;4.776843467011643;2.1528676153514446;0.6285036653730056;2,2425;3,7495;0,5435;0,2475;0,297;0,8465;11,483;6,993;6,95;163,2;187,6;5390;173,4
N2;N2B;0.029673590504451036;0.0;0.3264094955489614;0.0;0.019782393669634024;2.2650840751730956;0.0;0.18793273986152326;17.833827893175073;10.969337289812067;11.325420375865479;0.11869436201780414;39.446092977250245;6.261127596439169;6.063303659742829;5.1533135509396635;2,1825;5,1205;0,5945;0,255;0,3405;0,7485;7,697;7,044;6,86;181,7;464,5;6155;567,5
N2;N2S;4.326756663205262;0.0;1.0470751124956732;0.0;0.5538248528902735;0.11249567324333679;0.0;0.5451713395638629;8.913118726202839;10.24575977847006;47.84527518172378;0.22499134648667363;21.18380062305296;2.829698857736241;1.670128071997231;0.5019037729318103;2,2575;5,1205;0,5945;0,255;0,3405;0,7485;7,697;7,044;6,86;181,7;464,5;6155;567,5
N3;N3B;1.0387727986471795;0.0;1.3648991424085033;0.0;0.04831501389056649;1.7393405000603939;0.0;0.06039376736320811;13.673148931030317;2.947215847324556;35.17333011233241;0.14494504167169947;11.37818577122841;14.772315497040704;6.727865684261385;10.93127189274067;3,0075;6,4135;1,4375;0,677;0,761;0,8915;18,196;5,746;6,06;112,1;267,3;3564;212,6
N3;N3S;0.03280705351650605;0.0;0.496206684437154;0.0;0.25835554644248515;0.4346934590937051;0.0;0.0656141070330121;20.713553413984005;7.754767274964117;38.52778347344679;0.40188640557719907;24.5314742669674;3.461144145991388;2.8542136559360265;0.46750051261021125;2,9325;6,4135;1,4375;0,677;0,761;0,8915;18,196;5,746;6,06;112,1;267,3;3564;212,6
N4;N4B;0.0836752184430324;0.027891739481010796;7.949652874624095;0.0005071225360183782;0.2292193862803069;0.009128205648330806;0.0;0.014199431008514587;1.7840570817126542;51.54393456090796;33.68358596487669;0.11663818328422697;1.6572764477080597;1.6141710321464975;1.1192194369925605;0.1668433143500464;2,7825;4,8295;0,8405;0,3975;0,444;0,8965;14,173;6,779;6,83;76,7;241,1;6814;306,1
